Sentiment,Sentence,Clean sentences
0,-1,"20 October 2010 - Finnish environmental management company Lassila & Tikanoja Oyj HEL : LAT1V , or L&T , said Monday it expects its operating profit , excluding non-recurring items , for the whole 2010 to be slightly lower than in 2009 .",20 october 2010 finnish environmental management company lassila tikanoja oyj hel lat1v lt said monday expects operating profit excluding nonrecurring items whole 2010 slightly lower 2009
1,-1,A total of 140 jobs will be reduced at the Raahe Steel Works .,total 140 jobs reduced raahe steel works
2,1,"It provides customers with industry-leading elevators , escalators and innovative solutions for maintenance and modernization .",provides customers industryleading elevators escalators innovative solutions maintenance modernization
3,1,"Profit for the period was EUR 9.8 mn , up from EUR 6.0 mn in 2004 .",profit period eur 98 mn eur 60 mn 2004
4,1,The borrower was happy to do the roadshow and this paid off as the hit ratio from it was high .,borrower happy roadshow paid hit ratio high
5,-1,"On top of that , the US Commerce Department published worse-than-expected construction spending figures for November .",top us commerce department published worsethanexpected construction spending figures november
6,-1,"Managing Director 's comments : `` Net sales for the first quarter were notably lower than a year before , especially in Finland , Russia and the Baltic countries .",managing director comments net sales first quarter notably lower year especially finland russia baltic countries
7,-1,Pretax loss totalled EUR 162.3 mn compared to a profit of EUR 253.5 mn in 2007 .,pretax loss totalled eur 1623 mn compared profit eur 2535 mn 2007
8,-1,"Finnish GeoSentric 's net sales decreased to EUR 939,000 in January-March 2009 .",finnish geosentric net sales decreased eur 939000 januarymarch 2009
9,-1,"Tornio Works employs 2,300 of whom more than 1,800 have been in the scope of the fixed-period or part-time temporary layoffs in April-October period .",tornio works employs 2300 1800 scope fixedperiod parttime temporary layoffs apriloctober period
10,-1,"Many of the commercial vessels had got stuck in the narrow Bay of Bothnia , where the ice is thicker , and around the Aaland islands .",many commercial vessels got stuck narrow bay bothnia ice thicker around aaland islands
11,-1,The stock was hit by the profit warning of Finnish rival Rautaruukki Oyj ( OMX : RTRKS ) .,stock hit profit warning finnish rival rautaruukki oyj omx rtrks
12,-1,The current lay-offs are additional to the temporary lay-offs agreed in December 2008 and in May 2009 .,current layoffs additional temporary layoffs agreed december 2008 may 2009
13,-1,"Operating loss totalled EUR 3.2 mn , compared to a profit of EUR 7.2 mn in the third quarter of 2008 .",operating loss totalled eur 32 mn compared profit eur 72 mn third quarter 2008
14,-1,"Qualcomm estimated a first-quarter profit between 46 and 50 cents a share , excluding certain items , below the analyst estimate of 61 cents a share .",qualcomm estimated firstquarter profit 46 50 cents share excluding certain items analyst estimate 61 cents share
15,-1,"Most of the permanent layoffs will be in the plywood and sawn timber sectors of the Finnish company 's operations at several domestic mills , where earlier this year it temporarily laid off some 1,200 workers to save costs .",permanent layoffs plywood sawn timber sectors finnish company operations several domestic mills earlier year temporarily laid 1200 workers save costs
16,1,"Finnish airline Finnair has won a deal with the UK public sector to be the official airline for flights from London Heathrow to Osaka in Japan , as well as flights between Manchester in the UK and Helsinki in Finland .",finnish airline finnair deal uk public sector official airline flights london heathrow osaka japan well flights manchester uk helsinki finland
17,-1,The SeaWind that was en route from the Finnish port of Turku to Stockholm got stuck in ice already around 4 p.m. on Wednesday and the Regal Star 's journey from the Swedish port of Kapellskar to Paldiski in northwestern Estonia was cut short at 2 a.m. on Thursday .,seawind en route finnish port turku stockholm got stuck ice already around 4 pm wednesday regal star journey swedish port kapellskar paldiski northwestern estonia cut short 2 thursday
18,1,"( ADP News ) - Nov 5 , 2008 - Finnish electronic measurement products and solutions maker Vaisala Oyj ( OMX : VAIAS ) said today that its net profit rose to EUR 18 million ( USD 23.1 m ) for the first nine months of 2008 from EUR 1",adp news nov 5 2008 finnish electronic measurement products solutions maker vaisala oyj omx vaias said today net profit rose eur 18 million usd 231 first nine months 2008 eur 1
19,1,"Finnish construction company YIT Oyj said on November 13 , 2007 it won a 70 mln euro $ 102.8 mln contract to construct the new office building for local property company Tapiola Real Estate Oy .",finnish construction company yit oyj said november 13 2007 70 mln euro 1028 mln contract construct new office building local property company tapiola real estate oy
20,-1,The air traffic of Finland has been in stoppage since then .,air traffic finland stoppage since
21,1,"OUTOTEC OYJ PRESS RELEASE DECEMBER 4 , 2009 10.30 AM Outotec establishes a new subsidiary in Kolkata Outotec has established a subsidiary in India in order to better serve its Indian customers and to increase its business in the growing Indian market .",outotec oyj press release december 4 2009 1030 outotec establishes new subsidiary kolkata outotec established subsidiary india order better serve indian customers increase business growing indian market
22,1,"We are very excited working with Maxis on this first commercial deployment of ` Master of Maya ' , said Joe Doering , Head of the Asia South region at Nokia Siemens Networks .",excited working maxis first commercial deployment master maya said joe doering head asia south region nokia siemens networks
23,1,"In the Asia-Pacific region , Visa Wave is available in Malaysia , Taiwan and South Korea and will be expanded to Japan and Southeast Asia this year , Jung added .",asiapacific region visa wave available malaysia taiwan south korea expanded japan southeast asia year jung added
24,1,"`` Several growth initiatives in the chosen geographic areas are already ongoing , '' it continued , noting Lindex opened its first store in the Czech Republic this autumn in Brno .",several growth initiatives chosen geographic areas already ongoing continued noting lindex opened first store czech republic autumn brno
25,-1,"Frost sold shares for $ 19 million at $ 6.06-7 .12 per share , compared with Friday 's high of $ 11.33 and low of $ 10.14 .",frost sold shares 19 million 6067 12 per share compared friday high 1133 low 1014
26,1,Operating income rose to EUR 696.4 mn from EUR 600.3 mn in 2009 .,operating income rose eur 6964 mn eur 6003 mn 2009
27,1,New product launches in Finland will more than double from 2005 .,new product launches finland double 2005
28,-1,"However , the company saw its net profit for the third quarter down to EUR1 .4 m from EUR1 .5 m for the corresponding period of 2009 .",however company saw net profit third quarter eur1 4 eur1 5 corresponding period 2009
29,1,"Sales are expected to increase in the end of the year 2006 , however .",sales expected increase end year 2006 however
30,-1,18 March 2010 A leakage in the gypsum pond was detected today at the Talvivaara mine .,18 march 2010 leakage gypsum pond detected today talvivaara mine
31,1,"Finland 's Neste Oil has been awarded the Chemical Industry Federation of Finland 's Innovation Award for its NExBTL technology , which enables biodiesel to be produced from vegetable oil and animal fat .",finland neste oil awarded chemical industry federation finland innovation award nexbtl technology enables biodiesel produced vegetable oil animal fat
32,-1,Bosse added that Trygvesta does not have the financial strength to acquire the entire unit .,bosse added trygvesta financial strength acquire entire unit
33,-1,"( ADPnews ) - Dec 1 , 2009 - Finnish cutlery and hand tools maker Fiskars Oyj Abp ( HEL : FISAS ) said today that it will make redundant a total of 18 office and management staff members of its subsidiary Iittala Group Ltd. .",adpnews dec 1 2009 finnish cutlery hand tools maker fiskars oyj abp hel fisas said today make redundant total 18 office management staff members subsidiary iittala group ltd
34,-1,"Net sales for the financial year 2006 are expected to amount to about EUR20m and the operating result EBIT is expected to be a loss , as announced before .",net sales financial year 2006 expected amount eur20m operating result ebit expected loss announced
35,-1,EPS dropped to EUR0 .2 from EUR0 .3 .,eps dropped eur0 2 eur0 3
36,1,The pretax profit of the group 's life insurance business increased to EUR36m from EUR27m .,pretax profit group life insurance business increased eur36m eur27m
37,1,Satama 's net sales would be higher than the year before .,satama net sales would higher year
38,-1,"Raw materials prices have surged in the past year , fueled in part because of the rapid industrialization of China , India and other developing nations .",raw materials prices surged past year fueled part rapid industrialization china india developing nations
39,-1,Export declined by 6 percent to 16.4 million liters .,export declined 6 percent 164 million liters
40,-1,"On top of that , the US Commerce Department published worse-than-expected construction spending figures for November .",top us commerce department published worsethanexpected construction spending figures november
41,-1,Finnish Bank of +_land reports its operating profit fell to EUR 4.9 mn in the third quarter of 2007 from EUR 5.6 mn in the third quarter of 2006 .,finnish bank land reports operating profit fell eur 49 mn third quarter 2007 eur 56 mn third quarter 2006
42,-1,Applying for summer work is seen as laborious and stressful .,applying summer work seen laborious stressful
43,-1,Operating profit for continuing operations fell to EUR 48.3 mn from EUR 72.4 mn in the first half of 2007 .,operating profit continuing operations fell eur 483 mn eur 724 mn first half 2007
44,-1,Finnish meat company Atria can no longer promise a sufficient amount of domestic beef to its customers .,finnish meat company atria longer promise sufficient amount domestic beef customers
45,-1,UPM stock fell 3 percent to EURO 12.49 $ 17.24 in early afternoon trading in Helsinki .,upm stock fell 3 percent euro 1249 1724 early afternoon trading helsinki
46,-1,"Biohit said that it will reduce the number of leased personnel by 10 , and lay off 10 of its own personnel .",biohit said reduce number leased personnel 10 lay 10 personnel
47,-1,"In the reporting period , EPS stood at EUR0 .07 versus EUR0 .11 .",reporting period eps stood eur0 07 versus eur0 11
48,-1,"Furthermore , sales of new passenger cars and light commercial vehicles in the country declined by 5.4 % year-on-year last month .",furthermore sales new passenger cars light commercial vehicles country declined 54 yearonyear last month
49,-1,"According to the Latvian business register , Uponor Latvia closed in red with LVL 99,000 EUR 139,538.17 USD 194,556.48 on turnover of LVL 2.346 mn for 2009 .",according latvian business register uponor latvia closed red lvl 99000 eur 13953817 usd 19455648 turnover lvl 2346 mn 2009
50,1,"HK Ruokatalo now accounts for about 50 % of poultry sales in Finland , and profitability is at a good level .",hk ruokatalo accounts 50 poultry sales finland profitability good level
51,-1,Finnish forest machinery manufacturer Ponsse has issued a profit warning .,finnish forest machinery manufacturer ponsse issued profit warning
52,-1,Stora Enso 's target has been cut to EUR 4.85 from EUR 5.55 and Holmen 's target -- to SEK 135 from SEK 150 .,stora enso target cut eur 485 eur 555 holmen target sek 135 sek 150
53,-1,"However , this increases signaling traffic which wastes network resources and allows fewer smartphones to connect .",however increases signaling traffic wastes network resources allows fewer smartphones connect
54,-1,"According to Laavainen , Raisio 's food marketing used to be reactive and inconsistent .",according laavainen raisio food marketing used reactive inconsistent
55,-1,"In Q1 of 2009 , the company 's result before taxes from continuing operations , excluding non-recurring items , totalled EUR -0.4 mn , compared to EUR -0.1 mn in the corresponding period in 2008 .",q1 2009 company result taxes continuing operations excluding nonrecurring items totalled eur 04 mn compared eur 01 mn corresponding period 2008
56,-1,"So far Norwegian Norske Skog has reduced the staff levels by 1,000 people and plans to reduce production by 200,000 tons in 2008 , while Finnish-Swedish Stora Enso is to cut staff by 1,700 people and production by 500,000 tons .",far norwegian norske skog reduced staff levels 1000 people plans reduce production 200000 tons 2008 finnishswedish stora enso cut staff 1700 people production 500000 tons
57,-1,"In the building and home improvement trade , sales decreased by 6.3 % , totalling EUR 154.1 mn .",building home improvement trade sales decreased 63 totalling eur 1541 mn
58,-1,ArcelorMittal Chief Executive Officer Lakshmi Mittal has already cut output at some furnaces .,arcelormittal chief executive officer lakshmi mittal already cut output furnaces
59,1,The Federal Secretary for Transport and Communication of Mexico has awarded Poyry and its Mexican partner Sintra a consulting contract in connection with the Buenavista-Cuautitlan suburban railway .,federal secretary transport communication mexico awarded poyry mexican partner sintra consulting contract connection buenavistacuautitlan suburban railway
60,1,"The earnings per share for the quarter came in at 0.25 eur , up from the 0.20 eur of the same quarter a year earlier .",earnings per share quarter came 025 eur 020 eur quarter year earlier
61,-1,"The currency effect had a 3.0 pct , or 20 mln euro ( $ 31.3 mln ) , negative impact on the revenue .",currency effect 30 pct 20 mln euro 313 mln negative impact revenue
62,-1,"Qualcomm estimated a first-quarter profit between 46 and 50 cents a share , excluding certain items , below the analyst estimate of 61 cents a share .",qualcomm estimated firstquarter profit 46 50 cents share excluding certain items analyst estimate 61 cents share
63,-1,Ramirent made 18 million kroons EUR 1.15 mln loss last year ; the year before the company was 7.3 million kroons in the black .,ramirent made 18 million kroons eur 115 mln loss last year year company 73 million kroons black
64,-1,Device volume in the area decreased by 21 % to 2.7 mn units .,device volume area decreased 21 27 mn units
65,1,"STX Finland Oy signed a a preliminary agreement for the building of an environmentally friendly , new generation cruise ferry for Viking Line to manage on between Turku , Finland , and Stockholm , Sweden withViking Line ABP .",stx finland oy signed preliminary agreement building environmentally friendly new generation cruise ferry viking line manage turku finland stockholm sweden withviking line abp
66,-1,"The total headcount reduction will be 50 persons , the company said .",total headcount reduction 50 persons company said
