Sentiment,Sentence,Clean sentences
0,-1,"In Finland 's Hobby Hall 's sales decreased by 10 % , and international sales fell by 19 % .",finland hobby hall sales decreased 10 international sales fell 19
1,0,Panostaja did not disclose the purchase price .,panostaja disclose purchase price
2,-1,Scanfil will execute the temporary lay-offs by mid-October 2009 and the job cuts by March 2010 .,scanfil execute temporary layoffs midoctober 2009 job cuts march 2010
3,1,Operating profit rose to EUR 13.1 mn from EUR 8.7 mn in the corresponding period in 2007 representing 7.7 % of net sales .,operating profit rose eur 131 mn eur 87 mn corresponding period 2007 representing 77 net sales
4,0,The company 's share is quoted on NASDAQ OMX Helsinki Rautaruukki Oyj : RTRKS .,company share quoted nasdaq omx helsinki rautaruukki oyj rtrks
5,0,"Tikkurila Powder Coatings has some 50 employees at its four paint plants , which generated revenues of EUR2 .4 m USD3 .3 m in 2010 .",tikkurila powder coatings 50 employees four paint plants generated revenues eur2 4 usd3 3 2010
6,1,"`` Several growth initiatives in the chosen geographic areas are already ongoing , '' it continued , noting Lindex opened its first store in the Czech Republic this autumn in Brno .",several growth initiatives chosen geographic areas already ongoing continued noting lindex opened first store czech republic autumn brno
7,-1,"The Baltimore Police and Fire Pension , which has about $ 1.5 billion , lost about $ 3.5 million in Madoff Ponzi scheme .",baltimore police fire pension 15 billion lost 35 million madoff ponzi scheme
8,1,"In the fourth quarter of 2009 , Atria 's net loss shrank to EUR 1.2 million from EUR 5.9 million and net sales contracted to EUR 340.4 million from EUR 361.1 million .",fourth quarter 2009 atria net loss shrank eur 12 million eur 59 million net sales contracted eur 3404 million eur 3611 million
9,0,at 9:00 EET Alma Media 's Annual Report for 2009 is scheduled to be published in calendar week 9 .,900 eet alma media annual report 2009 scheduled published calendar week 9
10,-1,"The announcement pushed Freenet shares down 6.3 % , or EUR0 .71 , in Frankfurt trade to EUR10 .65 as investors gave up hope United Internet AG and Drillisch would pursue their own takeover and breakup of Freenet .",announcement pushed freenet shares 63 eur0 71 frankfurt trade eur10 65 investors gave hope united internet ag drillisch would pursue takeover breakup freenet
11,1,"Last year the company raised its turnover to approximately 7 million litas EUR 2 mln , from 6.1 million litas in 2004 .",last year company raised turnover approximately 7 million litas eur 2 mln 61 million litas 2004
12,0,Net sales of the Lehdentekijat unit was approximately EUR 14 million in 2007 and it had 70 employees .,net sales lehdentekijat unit approximately eur 14 million 2007 70 employees
13,-1,"Pretax loss totalled EUR 49.9 mn , compared to a loss of EUR 15.4 mn in the corresponding period in 2008 .",pretax loss totalled eur 499 mn compared loss eur 154 mn corresponding period 2008
14,1,"The company , which celebrates its fiftieth anniversary next year , has been exporting distinctive detached homes to Central Europe for several decades .",company celebrates fiftieth anniversary next year exporting distinctive detached homes central europe several decades
15,-1,"In 2009 , Stora Enso 's net loss was EUR 879.7 million compared to EUR 673.4 million in the previous year .",2009 stora enso net loss eur 8797 million compared eur 6734 million previous year
16,1,20 October 2010 - Finnish metal products company Componenta Oyj HEL : CTH1V said yesterday that its net loss narrowed to EUR7m for the first nine months of 2010 from EUR23 .3 m for the same period of 2009 .,20 october 2010 finnish metal products company componenta oyj hel cth1v said yesterday net loss narrowed eur7m first nine months 2010 eur23 3 period 2009
17,1,"By implementing the software the Finnish Army aims to unify and improve its operations in these application areas , QPR Software stated .",implementing software finnish army aims unify improve operations application areas qpr software stated
18,1,"According to the company , its operating profit , excluding non-recurring items , in the fourth quarter of 2009 was significantly better than expected , and also better than the figures for the fourth quarter of 2008 .",according company operating profit excluding nonrecurring items fourth quarter 2009 significantly better expected also better figures fourth quarter 2008
19,0,"Kemira will supply the additional volumes of iron coagulants from the company 's plant at Helsingborg , Sweden .",kemira supply additional volumes iron coagulants company plant helsingborg sweden
20,1,4G allows customers to use mobile broadband services with speeds up to ten times higher than with today 's 3G .,4g allows customers use mobile broadband services speeds ten times higher today 3g
21,0,"Most of the new substations support EDGE technology , which enables faster data traffic .",new substations support edge technology enables faster data traffic
22,0,Russia wants to utilise its huge forest reserves in a very different way from what has been done so far .,russia wants utilise huge forest reserves different way done far
23,-1,"have notified that as a result of the Company issuing 14,432,000 new shares in the directed offering , the joint holdings of Pequot has decreased below 1-10 to 9.63 % of total number of shares and votes in the Company .",notified result company issuing 14432000 new shares directed offering joint holdings pequot decreased 110 963 total number shares votes company
24,-1,Net sales decreased to EUR 220.5 mn from EUR 470.0 mn in the corresponding period in 2009 .,net sales decreased eur 2205 mn eur 4700 mn corresponding period 2009
25,-1,The air traffic of Finland has been in stoppage since then .,air traffic finland stoppage since
26,1,The company will use the assets for strengthening its balance sheet and financial position .,company use assets strengthening balance sheet financial position
27,-1,Repeats sees 2008 operating profit down y-y ( Reporting by Helsinki Newsroom ) Keywords : TECNOMEN-RESULTS,repeats sees 2008 operating profit yy reporting helsinki newsroom keywords tecnomenresults
28,-1,The number of bodily injury cases quadrupled in 2000-2006 .,number bodily injury cases quadrupled 20002006
29,0,"According to the company , a decision in the issue will be made in the summer of 2010 , at the earliest , and in the summer of 2011 , at the latest .",according company decision issue made summer 2010 earliest summer 2011 latest
30,-1,Return on investment ROI was 4.1 % compared to 43.8 % in the first half of 2008 .,return investment roi 41 compared 438 first half 2008
31,0,"Finnish L&T Recoil , a company specialising in used oil regeneration , is building a facility in Hamina in Finland in 2008 .",finnish lt recoil company specialising used oil regeneration building facility hamina finland 2008
32,1,credit 20 November 2009 - Finnish glass technology company Glaston Oyj Abp ( HEL : GLA1V ) said today it concluded a EUR74m revolving credit facility agreement with its core banks .,credit 20 november 2009 finnish glass technology company glaston oyj abp hel gla1v said today concluded eur74m revolving credit facility agreement core banks
33,0,Pertti Ervi is independent from the Company and its major shareholders .,pertti ervi independent company major shareholders
34,-1,"Changes in the market situation and tougher price competition have substantially reduced demand for bread packaging manufactured at the Kauhava plant , according to the company .",changes market situation tougher price competition substantially reduced demand bread packaging manufactured kauhava plant according company
35,-1,"The company 's annual loss amounted to EEK 18mn , compared to a profit of EEK 7.3 mn in 2008 .",company annual loss amounted eek 18mn compared profit eek 73 mn 2008
36,1,The company expects net sales to significantly increase from 2009 .,company expects net sales significantly increase 2009
37,0,`` These developments partly reflect the government 's higher activity in the field of dividend policy . '',developments partly reflect government higher activity field dividend policy
38,1,UPM-Kymmene is working closely with its shipping agents to reduce fuel consumption and greenhouse gas emissions .,upmkymmene working closely shipping agents reduce fuel consumption greenhouse gas emissions
39,1,"Previously , the company had guided for EBIT and sales growth of 20 pct and 10 pct respectively for this year .",previously company guided ebit sales growth 20 pct 10 pct respectively year
40,1,"Pioneer Library System was one of 127 libraries , municipalities , arts , culture and higher education and science organizations to have been awarded grants to participate in The Big Read , the largest federal reading program in U.S. history .",pioneer library system one 127 libraries municipalities arts culture higher education science organizations awarded grants participate big read largest federal reading program yous history
41,0,Almost the entire office building will be occupied by Metso .,almost entire office building occupied metso
42,-1,"Temporary lay-offs , affecting the entire workforce , will also be implemented .",temporary layoffs affecting entire workforce also implemented
43,-1,"According to Laavainen , Raisio 's food marketing used to be reactive and inconsistent .",according laavainen raisio food marketing used reactive inconsistent
44,0,"An acquisition of TeliaSonera would be France Telecom 's biggest since its 2000 purchase of Orange plc for  27.8 billion ( $ 55.1 billion ) and would create the world 's fourth-largest telecom company behind AT&T Inc. , Verizon Communications Inc. and NTT Corp. of Japan .",acquisition teliasonera would france telecom biggest since 2000 purchase orange plc 278 billion 551 billion would create world fourthlargest telecom company behind att inc verizon communications inc ntt corp japan
45,0,The company did not disclose the price of the acquisition .,company disclose price acquisition
46,-1,"Capacity will ease at its Seikku sawmill in Pori and Alholma sawmill in Pietarsaari and result in 60 people being laid off for around six weeks starting mid-May , it said .",capacity ease seikku sawmill pori alholma sawmill pietarsaari result 60 people laid around six weeks starting midmay said
47,0,"In the method the smelt spouts 2 are separated from the working area 6 by a shielding wall 8 , 10 arranged movable in relation to the smelt spouts .",method smelt spouts 2 separated working area 6 shielding wall 8 10 arranged movable relation smelt spouts
48,0,The closing of such transaction took place today .,closing transaction took place today
49,-1,"Earlier today , Geberit 's Finnish rival Uponor OYJ cut its full-year sales growth forecast to 6 pct from 10 pct , blaming tough conditions in Germany and the US , as well as currency factors .",earlier today geberit finnish rival uponor oyj cut fullyear sales growth forecast 6 pct 10 pct blaming tough conditions germany us well currency factors
50,0,A merger between UPM and Finnish-Swedish Stora Enso is not likely either .,merger upm finnishswedish stora enso likely either
51,0,"According to HK Ruokatalo , almost all the meat used by the company comes from Finland .",according hk ruokatalo almost meat used company comes finland
52,0,The company 's equipment rental portfolio consists primarily of tools for small and mid-sized customers in the construction industry .,company equipment rental portfolio consists primarily tools small midsized customers construction industry
53,1,Turnover rose to EUR21m from EUR17m .,turnover rose eur21m eur17m
54,0,"Commenting on the deal , Shane Lennon , SVP of Marketing & Product Development at GyPSii said : ?",commenting deal shane lennon svp marketing product development gypsii said
55,-1,"Earnings per share ( EPS ) in the first half of 2007 amounted to EUR0 .29 , down from EUR0 .40 year ago .",earnings per share eps first half 2007 amounted eur0 29 eur0 40 year ago
56,0,"Customers wave cards in front of the reader to make payments , similar to `` touch and go '' cards used in transport systems .",customers wave cards front reader make payments similar touch go cards used transport systems
57,1,"The production capacity can be tripled without any major additional investments , the company said .",production capacity tripled without major additional investments company said
58,0,The trade is in accordance with the agreement announced on 26 March 2008 .,trade accordance agreement announced 26 march 2008
